,avg,country
0,3.6285714285714286,Afghanistan
1,1.5333333333333334,Albania
2,2.485294117647059,Algeria
3,1.5538599640933572,American Samoa
4,0.0,Andorra
5,3.3333333333333335,Angola
6,1.1724137931034482,Anguilla
7,0.0,Anonymous Proxy
8,5.842105263157895,Antigua and Barbuda
9,0.0,Argentina
10,2.718270999386879,Armenia
11,5.1,Aruba
12,0.6666666666666666,Asia/Pacific Region
13,3.272727272727273,Australia
14,3.4879837067209776,Austria
15,3.8798143851508122,Azerbaijan
16,1.75,Bahamas
17,3.2857142857142856,Bahrain
18,3.25,Bangladesh
19,1.2452380952380953,Barbados
20,2.3333333333333335,Belarus
21,6.076923076923077,Belgium
22,3.154907370910524,Belize
23,2.6666666666666665,Benin
24,2.2777777777777777,Bhutan
25,1.75,Bolivia
26,2.046511627906977,Bosnia and Herzegovina
27,2.903225806451613,Botswana
28,1.875,Brazil
29,2.5191289432470727,Brunei Darussalam
30,3.5,Bulgaria
31,4.151898734177215,Burkina Faso
32,1.4411764705882353,Burundi
33,1.8888888888888888,Cambodia
34,1.0480769230769231,Cameroon
35,1.875,Canada
36,3.192117117117117,Cape Verde
37,0.8333333333333334,Cayman Islands
38,4.5,Central African Republic
39,0.0,Chad
40,1.5,Chile
41,2.9456598447424134,China
42,4.065420560747664,Christmas Island
43,0.0,Colombia
44,2.7225583405358686,Comoros
45,0.3333333333333333,Congo
46,1.9375,"Congo, The Democratic Republic of the"
47,2.2586206896551726,Costa Rica
48,3.1886363636363635,Cote D'Ivoire
49,1.977198697068404,Croatia
50,4.394444444444445,Cuba
51,2.3551401869158877,Curacao
52,2.125,Cyprus
53,3.861111111111111,Czech Republic
54,5.14,Denmark
55,4.8099547511312215,Djibouti
56,0.75,Dominica
57,0.0,Dominican Republic
58,2.8688524590163933,Ecuador
59,1.9164802386278896,Egypt
60,1.1954397394136809,El Salvador
61,2.5203252032520327,Equatorial Guinea
62,1.5,Estonia
63,5.519230769230769,Ethiopia
64,0.9746835443037974,Europe
65,4.528301886792453,Fiji
66,3.1176470588235294,Finland
67,5.571428571428571,France
68,3.2211349069876505,French Guiana
69,2.24,French Polynesia
70,2.640449438202247,Gabon
71,1.7169811320754718,Gambia
72,1.6666666666666667,Georgia
73,2.4,Germany
74,3.6383362024100245,Ghana
75,2.257142857142857,Gibraltar
76,1.0,Greece
77,4.2525,Grenada
78,0.0,Guadeloupe
79,2.5098039215686274,Guam
80,1.6666666666666667,Guatemala
81,2.808219178082192,Guernsey
82,4.75,Guinea
83,1.0454545454545454,Guyana
84,3.0,Haiti
