,avg,country,id
164,1.9545454545454546,Saint Kitts and Nevis,KNA
165,1.5,Saint Lucia,LCA
166,0.0,Saint Martin,None
167,0.0,Saint Pierre and Miquelon,SPM
168,3.1666666666666665,Saint Vincent and the Grenadines,VCT
169,0.0,San Marino,SMR
170,2.6,Sao Tome and Principe,STP
171,0.0,Saudi Arabia,SAU
172,2.607476635514019,Senegal,SEN
173,1.609375,Serbia,SRB
174,3.7386934673366836,Seychelles,SYC
175,1.0,Sierra Leone,SLE
176,2.5,Singapore,SGP
177,3.9653179190751446,Sint Maarten (Dutch part),SXM
178,0.0,Slovakia,SVK
179,4.575342465753424,Slovenia,SVN
180,4.4520547945205475,Solomon Islands,SLB
181,0.5,Somalia,SOM
182,0.9090909090909091,South Africa,ZAF
183,3.7243589743589745,South Sudan,SSD
184,1.5,Spain,ESP
185,3.3551529653050762,Sri Lanka,LKA
186,2.176470588235294,Sudan,SDN
187,1.3170731707317074,Suriname,SUR
188,2.0,Swaziland,SWZ
189,2.6,Sweden,SWE
190,5.583333333333333,Switzerland,CHE
191,3.465242088179605,Syrian Arab Republic,SYR
192,2.263157894736842,Taiwan,TWN
193,5.1923076923076925,Tajikistan,TJK
194,0.0,"Tanzania, United Republic of",TZA
195,1.9027777777777777,Thailand,THA
196,3.0136363636363637,Togo,TGO
197,1.4383561643835616,Tonga,TON
198,0.0,Trinidad and Tobago,TTO
199,3.1515151515151514,Tunisia,TUN
200,2.2348754448398576,Turkey,TUR
201,4.389937106918239,Turks and Caicos Islands,TCA
202,0.0,Uganda,UGA
203,2.2739726027397262,Ukraine,UKR
204,5.594594594594595,United Arab Emirates,ARE
205,3.5612903225806454,United Kingdom,GBR
206,3.719591275299666,United States,USA
207,3.424163128270959,Uruguay,URY
208,2.6610526315789476,Uzbekistan,UZB
209,0.0,Vanuatu,VUT
210,2.6666666666666665,Venezuela,VEN
211,2.0240096038415367,Vietnam,VNM
212,2.5428571428571427,"Virgin Islands, U.S.",VIR
213,2.5,Wallis and Futuna,WLF
214,0.0,Yemen,YEM
215,0.25,Zambia,ZMB
216,1.7586206896551724,Zimbabwe,ZWE
